Customer ID,Customer Status,Date Order was placed,Delivery Date,Order ID,Product ID,Quantity Ordered,Total Retail Price for This Order,Cost Price Per Unit
5945,Silver,25-Mar-18,25-Mar-18,123256661,240200100137,1,9.0,4.45
16333,Gold,12-Jul-18,12-Jul-18,123385463,240100100329,2,78.2,19.65
72874,Silver,13-Mar-18,13-Mar-18,123281470,240300100047,1,12.5,5.4
16194,Gold,28-Aug-18,28-Aug-18,123300718,220200300161,2,31.98,9.65
75182,SILVER,18-Oct-19,18-Oct-19,123761744,240500200092,1,34.6,16.6
42981,Gold,06-Jun-19,06-Jun-19,123612248,230100600022,4,336.4,42.15
84179,Gold,27-Mar-18,27-Mar-18,123275434,220200100081,2,229.4,57.45
91127,Gold,19-May-19,27-May-19,123526902,240100100598,1,77.2,32.9
2841,SILVER,31-Aug-19,31-Aug-19,123679875,220101400007,2,84.8,19.35
30146,Silver,08-Jun-17,08-Jun-17,123065751,240100100253,2,208.4,50.9
9164,Gold,15-Feb-21,15-Feb-21,124145261,240200200060,1,184.5,73.85
78468,Silver,10-Feb-19,10-Feb-19,123435667,210200500016,1,52.5,22.25
56109,Silver,14-Oct-21,14-Oct-21,124330807,220101100015,1,12.2,5.35
53310,Silver,13-Apr-18,16-Apr-18,123285950,240300100037,1,22.3,10.0
82680,Gold,03-Jan-18,03-Jan-18,123227117,210200600072,1,73.2,30.8
54992,Silver,22-Aug-20,26-Aug-20,123988542,210200300014,5,65.5,6.6
7420,Gold,03-Mar-18,03-Mar-18,123213624,240100100003,1,14.1,6.0
60663,Gold,22-May-20,22-May-20,123958337,230100500095,3,305.1,42.0
28783,Gold,03-Sep-21,03-Sep-21,124355302,220101400162,2,37.0,8.6
57445,Gold,20-Feb-19,20-Feb-19,123438276,220100400012,1,76.9,34.95
46572,Gold,05-Nov-18,05-Nov-18,123456863,220100100348,1,61.0,30.45
33789,GOLD,13-Nov-21,15-Nov-21,124306760,240800200020,1,187.2,85.15
14037,Gold,21-Jul-20,21-Jul-20,123936172,220200100047,2,149.6,36.85
49807,SILVER,25-Jan-21,25-Jan-21,124162604,230100700009,1,568.1,289.95
50070,SILVER,06-Sep-19,06-Sep-19,123638784,230100500022,1,150.1,64.1
86851,Gold,28-Sep-21,01-Oct-21,124390562,220200100081,2,229.4,57.45
30270,Gold,09-Jul-19,09-Jul-19,123646568,240100300004,2,45.8,9.1
11657,Gold,02-Mar-21,02-Mar-21,124184206,230100600022,1,84.1,42.15
15098,Gold,07-Jun-19,07-Jun-19,123622026,220100800070,2,55.2,13.25
64063,Silver,05-Mar-17,05-Mar-17,123046010,240100300006,2,103.0,22.8
471,Gold,25-May-19,25-May-19,123592674,220200100009,1,63.4,30.5
70682,Gold,15-Jun-19,15-Jun-19,123603954,220200100170,2,224.2,56.15
53708,Silver,01-Mar-18,01-Mar-18,123205507,240700400031,1,56.7,28.45
28620,Gold,22-Aug-18,22-Aug-18,123364484,230100200049,3,337.5,51.3
3291,Silver,30-Apr-19,30-Apr-19,123540872,240700400027,2,140.4,36.7
3251,Gold,04-Apr-19,04-Apr-19,123569591,240600100089,2,44.0,9.1
51006,Silver,20-Sep-17,20-Sep-17,123139672,240600100196,2,115.6,25.5
51247,Silver,23-Dec-21,23-Dec-21,124463840,240500200045,2,69.0,14.4
54304,Silver,17-Dec-19,17-Dec-19,123766500,220200200062,4,355.2,37.8
10505,GOLD,20-Dec-17,20-Dec-17,123145661,220100100442,2,225.6,56.35
17223,Gold,11-Feb-21,11-Feb-21,124111390,240100100135,1,264.6,108.6
16477,Gold,19-Jun-21,28-Jun-21,124273540,210200300058,2,66.6,16.75
81320,Silver,25-Oct-20,29-Oct-20,124096680,220101300019,1,60.2,24.1
32628,Silver,01-Aug-21,01-Aug-21,124257798,210200700016,3,70.5,9.2
84387,Silver,06-May-21,08-May-21,124268010,220100700033,3,190.5,30.35
77933,GOLD,15-Nov-18,20-Nov-18,123420439,240100200014,1,55.4,22.8
74482,Gold,24-Feb-21,24-Feb-21,124127723,210200600128,1,17.9,7.85
65015,Silver,23-Feb-21,23-Feb-21,124118797,220200100222,1,109.0,60.05
16475,Gold,14-Sep-19,14-Sep-19,123723488,220100100556,2,95.6,24.0
38975,GOLD,26-Feb-17,26-Feb-17,123010475,240800200009,2,171.2,34.3
2509,Gold,29-Jan-17,29-Jan-17,123055580,230100600026,1,118.6,59.4
85644,Gold,21-Feb-19,21-Feb-19,123447348,220101400304,1,16.0,8.1
53827,Gold,06-Nov-21,06-Nov-21,124340539,240100100614,1,35.5,15.2
14748,Silver,02-Mar-18,02-Mar-18,123211345,240700100011,1,26.99,10.23
76286,Silver,17-Sep-20,17-Sep-20,124090837,210200500018,1,40.0,18.6
58513,Silver,26-Jan-20,26-Jan-20,123816223,220200200085,1,42.6,18.5
38566,Silver,09-May-17,15-May-17,123003074,230100500067,2,78.4,20.05
3632,GOLD,19-Dec-19,19-Dec-19,123786340,210201000183,2,73.4,16.75
90158,Gold,30-Sep-19,30-Sep-19,123782814,220100100105,1,117.6,58.9
18586,Gold,16-Oct-21,02-Nov-21,124345299,230100100051,2,369.8,78.15
31960,SILVER,07-Feb-17,07-Feb-17,123010010,240500100019,1,48.4,21.5
5309,Gold,22-Aug-19,22-Aug-19,123690089,210201000087,3,60.0,9.15
35844,Silver,16-Apr-19,16-Apr-19,123593619,240500100027,1,45.5,20.2
88970,Gold,05-Sep-19,05-Sep-19,123624023,210201000107,1,5.6,2.85
13988,Gold,01-May-21,06-May-21,124225250,240400200056,1,176.4,84.1
64733,SILVER,04-Jun-20,10-Jun-20,123958719,220101400111,2,51.8,11.9
41059,Gold,06-Aug-21,06-Aug-21,124311310,240500100035,3,192.0,28.35
58481,Silver,01-May-17,03-May-17,123058998,230100600021,2,168.4,42.2
78898,Silver,29-Dec-20,31-Dec-20,124116583,220100100146,2,341.6,85.5
86509,Silver,22-May-19,22-May-19,123558652,240100200005,1,33.9,14.3
32206,Silver,25-Jan-20,25-Jan-20,123807949,240100100042,1,110.7,51.35
71847,GOLD,02-Nov-20,02-Nov-20,124061757,220101000001,1,18.2,8.2
4165,Gold,16-Apr-20,16-Apr-20,123861666,240800100043,1,406.8,172.95
92850,Silver,01-Oct-21,01-Oct-21,124309618,240200200081,1,107.3,10.75
15018,GOLD,26-Jun-21,26-Jun-21,124239019,240700200009,3,84.0,11.35
88323,Gold,07-Feb-21,12-Feb-21,124177662,240300200078,1,64.6,27.2
19457,GOLD,20-Jan-18,20-Jan-18,123238098,220100400003,1,161.8,81.0
88886,GOLD,06-Aug-20,06-Aug-20,123955685,240200100127,2,28.0,7.05
35787,Gold,13-Dec-18,14-Dec-18,123412213,220101400080,6,140.4,10.75
41626,Gold,09-Mar-21,09-Mar-21,124150040,240100200001,1,16.0,6.35
21265,Gold,03-Oct-17,03-Oct-17,123111009,220200100084,1,106.5,51.55
36788,Gold,25-Sep-21,27-Sep-21,124360928,220100100528,2,70.0,17.6
4178,Silver,04-Oct-21,04-Oct-21,124337416,240700200010,1,26.9,10.3
56961,Gold,03-Nov-21,03-Nov-21,124317044,240300300040,1,30.4,12.25
31868,GOLD,09-Mar-21,10-Mar-21,124146238,220200200012,2,135.8,30.9
23324,Gold,10-Mar-21,10-Mar-21,124158841,230100500096,1,35.5,17.25
29553,Gold,07-Apr-19,12-Apr-19,123506811,240400200022,1,93.4,38.95
25769,Silver,03-Aug-20,03-Aug-20,123931794,240100100480,2,16.2,3.15
88794,Silver,30-Oct-19,10-Nov-19,123784953,220101400171,1,34.7,15.8
34346,Silver,18-Oct-19,19-Oct-19,123768633,230100600015,1,78.2,39.2
20160,Gold,03-Jun-21,08-Jun-21,124226885,240100100235,2,26.4,5.65
15984,Silver,19-Nov-18,19-Nov-18,123453104,220101400329,1,21.8,9.75
27990,Silver,28-Aug-21,28-Aug-21,124304462,220200100211,3,316.5,52.85
46476,Silver,08-Dec-18,08-Dec-18,123476419,220200100099,2,315.6,79.0
78276,Gold,29-Jan-19,29-Jan-19,123412597,220200200009,1,59.0,26.85
82601,Gold,09-Apr-19,09-Apr-19,123520732,220101400329,1,21.8,9.75
83534,GOLD,03-Nov-21,03-Nov-21,124315050,240100400066,1,238.3,116.2
47730,SILVER,25-May-21,25-May-21,124247518,220101400177,1,95.0,43.25
76059,SILVER,24-Mar-17,24-Mar-17,123053154,240400200088,1,197.4,82.25
13879,Silver,18-May-20,19-May-20,123927048,220100100273,1,38.8,19.5
38391,Silver,11-Oct-18,16-Oct-18,123394233,230100200034,1,215.5,97.85
86929,GOLD,18-Nov-18,18-Nov-18,123443443,240700400023,1,12.1,5.45
12521,Gold,21-Jun-18,21-Jun-18,123347173,240100100407,2,122.8,32.15
71318,GOLD,30-Jul-19,03-Aug-19,123657036,240100100440,5,723.5,72.3
77379,Gold,26-Dec-18,26-Dec-18,123498053,230100600028,1,96.7,48.45
17770,Gold,31-Aug-21,31-Aug-21,124329182,220100300017,1,22.4,10.6
74241,Silver,20-Aug-18,26-Aug-18,123347502,240100100253,2,210.4,51.4
33743,Gold,28-Aug-19,28-Aug-19,123647324,240100400088,3,547.8,86.9
77352,Silver,31-Jan-19,31-Jan-19,123428362,240100100724,2,332.4,70.7
32188,Silver,11-Sep-18,11-Sep-18,123392505,220200100047,1,74.8,36.85
81418,GOLD,15-Mar-21,15-Mar-21,124105045,220100900031,1,89.2,35.7
20152,Silver,06-Dec-19,06-Dec-19,123760721,220200200070,2,243.0,55.25
83359,Gold,12-Jan-20,16-Jan-20,123803527,220200300100,1,70.5,33.0
93317,Gold,22-Oct-20,25-Oct-20,124072093,230100500091,1,191.0,80.45
46292,Gold,04-Jul-21,04-Jul-21,124204853,220200100100,2,173.8,43.55
80854,Silver,07-Apr-17,09-Apr-17,123030806,230100500091,3,573.0,80.45
3712,Silver,28-Apr-18,28-Apr-18,123288837,220101400002,1,104.1,47.4
21895,SILVER,11-Jun-21,11-Jun-21,124297908,210200400052,2,83.2,20.9
